"source","pdf_file","pdf_sha256","printed_headword","normalized_headword","part_of_speech","cefr_level","pdf_page","pdf_column","pdf_line","pre_import_status","pre_import_record_ids","post_import_status","final_record_ids","source_key"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","a, an","a / an","article","A1","1","1","3","existing-exact","1","existing-exact","1","a, an|A1|article"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","abandon","abandon","verb","B2","1","1","4","existing-exact","2","existing-exact","2","abandon|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","ability","ability","noun","A2","1","1","5","existing-exact","3","existing-exact","3","ability|A2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","able","able","adjective","A2","1","1","6","existing-exact","4","existing-exact","4","able|A2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","about","about","preposition; adverb","A1","1","1","7","existing-exact","5","existing-exact","5","about|A1|adverb+preposition"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","above","above","preposition; adverb","A1","1","1","8","existing-exact","6","existing-exact","6","above|A1|adverb+preposition"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","abroad","abroad","adverb","A2","1","1","9","existing-exact","7","existing-exact","7","abroad|A2|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","absolute","absolute","adjective","B2","1","1","10","existing-exact","8","existing-exact","8","absolute|B2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","absolutely","absolutely","adverb","B1","1","1","11","existing-exact","9","existing-exact","9","absolutely|B1|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","academic","academic","adjective","B1","1","1","12","existing-exact","10","existing-exact","10","academic|B1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","academic","academic","noun","B2","1","1","12","existing-exact","11","existing-exact","11","academic|B2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","accept","accept","verb","A2","1","1","13","existing-exact","12","existing-exact","12","accept|A2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","acceptable","acceptable","adjective","B2","1","1","14","existing-exact","13","existing-exact","13","acceptable|B2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","access","access","noun; verb","B1","1","1","15","existing-exact","14","existing-exact","14","access|B1|noun+verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","accident","accident","noun","A2","1","1","16","existing-exact","15","existing-exact","15","accident|A2|noun"
