"id","word","cefr","parts_of_speech","resolved_meanings","cambridge_english_arabic_url","cambridge_english_url","oxford_pos_url","review_status"
"5","about","A1","preposition + adverb","3","https://dictionary.cambridge.org/dictionary/english-arabic/about","https://dictionary.cambridge.org/dictionary/english/about","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"6","above","A1","preposition + adverb","4","https://dictionary.cambridge.org/dictionary/english-arabic/above","https://dictionary.cambridge.org/dictionary/english/above","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"27","across","A1","preposition + adverb","4","https://dictionary.cambridge.org/dictionary/english-arabic/across","https://dictionary.cambridge.org/dictionary/english/across","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"50","advance","B2","noun + verb + adjective","5","https://dictionary.cambridge.org/dictionary/english-arabic/advance","https://dictionary.cambridge.org/dictionary/english/advance","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"64","after","A2","conjunction + adverb","4","https://dictionary.cambridge.org/dictionary/english-arabic/after","https://dictionary.cambridge.org/dictionary/english/after","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"81","aid","B2","noun + verb","4","https://dictionary.cambridge.org/dictionary/english-arabic/aid","https://dictionary.cambridge.org/dictionary/english/aid","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"82","aim","B1","verb + noun","2","https://dictionary.cambridge.org/dictionary/english-arabic/aim","https://dictionary.cambridge.org/dictionary/english/aim","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"93","all","A1","determiner + pronoun","3","https://dictionary.cambridge.org/dictionary/english-arabic/all","https://dictionary.cambridge.org/dictionary/english/all","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"98","alone","A2","adjective + adverb","4","https://dictionary.cambridge.org/dictionary/english-arabic/alone","https://dictionary.cambridge.org/dictionary/english/alone","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"99","along","A2","preposition + adverb","2","https://dictionary.cambridge.org/dictionary/english-arabic/along","https://dictionary.cambridge.org/dictionary/english/along","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"130","another","A1","determiner + pronoun","3","https://dictionary.cambridge.org/dictionary/english-arabic/another","https://dictionary.cambridge.org/dictionary/english/another","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"131","answer","A1","noun + verb","2","https://dictionary.cambridge.org/dictionary/english-arabic/answer","https://dictionary.cambridge.org/dictionary/english/answer","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"133","any","A1","determiner + pronoun","3","https://dictionary.cambridge.org/dictionary/english-arabic/any","https://dictionary.cambridge.org/dictionary/english/any","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"140","anywhere","A2","adverb + pronoun","2","https://dictionary.cambridge.org/dictionary/english-arabic/anywhere","https://dictionary.cambridge.org/dictionary/english/anywhere","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"147","appeal","B2","noun + verb","5","https://dictionary.cambridge.org/dictionary/english-arabic/appeal","https://dictionary.cambridge.org/dictionary/english/appeal","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"155","approach","B2","noun + verb","2","https://dictionary.cambridge.org/dictionary/english-arabic/approach","https://dictionary.cambridge.org/dictionary/english/approach","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"171","around","A1","preposition + adverb","5","https://dictionary.cambridge.org/dictionary/english-arabic/around","https://dictionary.cambridge.org/dictionary/english/around","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"174","arrest","B1","verb + noun","2","https://dictionary.cambridge.org/dictionary/english-arabic/arrest","https://dictionary.cambridge.org/dictionary/english/arrest","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"183","as","A2","adverb + conjunction","5","https://dictionary.cambridge.org/dictionary/english-arabic/as","https://dictionary.cambridge.org/dictionary/english/as","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"192","assistant","A2","noun + adjective","2","https://dictionary.cambridge.org/dictionary/english-arabic/assistant","https://dictionary.cambridge.org/dictionary/english/assistant","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"201","attack","A2","noun + verb","2","https://dictionary.cambridge.org/dictionary/english-arabic/attack","https://dictionary.cambridge.org/dictionary/english/attack","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"202","attempt","B2","noun + verb","2","https://dictionary.cambridge.org/dictionary/english-arabic/attempt","https://dictionary.cambridge.org/dictionary/english/attempt","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"204","attention","A2","noun + exclamation","2","https://dictionary.cambridge.org/dictionary/english-arabic/attention","https://dictionary.cambridge.org/dictionary/english/attention","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"216","average","A2","adjective + noun","3","https://dictionary.cambridge.org/dictionary/english-arabic/average","https://dictionary.cambridge.org/dictionary/english/average","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
"225","back","A1","noun + adverb","4","https://dictionary.cambridge.org/dictionary/english-arabic/back","https://dictionary.cambridge.org/dictionary/english/back","https://www.oxfordlearnersdictionaries.com/us/external/pdf/wordlists/oxford-3000-5000/The_Oxford_3000_by_CEFR_level.pdf","verified"
